group,name,log2FC,FDR
EOAD,LYZ,0.298905534234393,0.269006347587298
EOAD,KNG1,0.373891801412269,0.271413805886578
EOAD,MCFD2,0.150749253138252,0.647134111019565
EOAD,PPIA,0.477312868313456,0.0224597622060813
EOAD,CALB1,-0.0234607725219265,0.887978615607253
EOAD,GPR37,-0.0537046619800963,0.565927877709668
EOAD,SHISA7,-0.199742787258724,0.0365963222892319
EOAD,MAPT,0.926136543238878,0.13146890056736
EOAD,ATP6AP2,-0.25931537146363,0.519396493550399
EOAD,C7,0.176980981660753,0.250396553580068
EOAD,CANX,-0.0462154793428384,0.598472937914771
EOAD,VGF,-0.584603058038548,0.125543837998659
EOAD,ENPP2,0.0935438553809504,0.677042411523753
EOAD,MGP,-0.12474373167135,0.754977446199804
EOAD,MRC1,-0.0278715626436536,0.885073773872223
EOAD,SERPINA5,0.40690652910512,0.131865581356783
EOAD,IGKV4-1,0.147004145873612,0.704619881874657
EOAD,LDHA,0.15314300242521,0.287796122573842
EOAD,PRCP,-0.285715639287947,0.151503701098424
EOAD,FRRS1L,-0.159509126590448,0.125543837998659
EOAD,F12,0.211616117831911,0.600611151561447
EOAD,TPI1,0.192002139088576,0.429808187314876
EOAD,FGG,0.114129189457531,0.782255633117387
EOAD,OGN,-0.0764252136664911,0.4284750795659
EOAD,LCAT,-0.332297975563909,0.244309825422506
EOAD,LINGO1,-0.210592867901688,0.269080858114767
EOAD,MEGF9,-0.116265162598073,0.333305137775446
EOAD,CSF1,0.064861309576445,0.656521449507206
EOAD,SEMA3G,-0.0805813281861143,0.645806689274805
EOAD,DKK3,-0.0537967700930562,0.635649749017094
EOAD,NCAM2,-0.029762794842437,0.701959572361838
EOAD,NPTX2,-0.67885513816811,0.0342043734812251
EOAD,SPOCK1,-0.0783073579819451,0.365759012618978
EOAD,TF,0.17641665660032,0.41679316169376
EOAD,QSOX2,-0.0979516830450127,0.631837497615648
EOAD,PIK3IP1,-0.0791027594927645,0.372560211151682
EOAD,SMOC1,0.449806506606452,0.0799932359889286
EOAD,LMAN2,-0.0346159049592671,0.439089440775495
EOAD,CLSTN3,-0.0480273928343564,0.664964150310282
EOAD,NEO1,-0.103822915103581,0.23096129914898
EOAD,IGFBP4,-0.0493739184879907,0.698991946741648
EOAD,PRKCSH,-0.115139001323897,0.175976883731711
EOAD,BCHE,0.0739024368546595,0.737919074698424
EOAD,SPINT2,-0.129059980258798,0.289972168237634
EOAD,TWSG1,0.0534285660110472,0.661306578637265
EOAD,HEXB,-0.0929121363371781,0.572840455749051
EOAD,SULF2,-0.182572997412365,0.131801654048377
EOAD,FETUB,0.416843510929296,0.110280378255723
EOAD,MMP2,0.0244200440721283,0.734430468006213
